name,hoop
0.npy,"934,127,994,145"
10.npy,"813,198,875,219"
100.npy,"925,160,984,174"
1005.npy,"852,161,921,180"
1009.npy,"745,216,787,231"
101.npy,"976,147,1030,162"
102.npy,"862,251,911,261"
1023.npy,"855,187,919,208"
1026.npy,"857,157,921,175"
103.npy,"857,123,914,141"
1035.npy,"793,206,842,219"
104.npy,"854,234,915,246"
105.npy,"797,156,864,173"
106.npy,"858,197,918,216"
107.npy,"764,172,823,189"
108.npy,"802,251,857,267"
11.npy,"879,258,923,267"
111.npy,"932,146,1003,166"
112.npy,"819,210,869,224"
113.npy,"828,171,892,188"
114.npy,"775,165,841,178"
115.npy,"884,152,951,171"
116.npy,"790,267,836,279"
117.npy,"778,174,836,194"
118.npy,"825,261,878,276"
12.npy,"955,167,1012,181"
120.npy,"868,155,923,168"
121.npy,"906,230,953,244"
122.npy,"777,217,829,232"
124.npy,"868,150,924,164"
125.npy,"878,182,922,197"
126.npy,"722,206,771,219"
127.npy,"821,231,875,247"
128.npy,"796,263,844,276"
129.npy,"654,202,709,217"
130.npy,"900,178,967,195"
131.npy,"821,178,888,194"
132.npy,"642,190,699,205"
133.npy,"981,154,1040,169"
134.npy,"935,157,996,175"
136.npy,"814,180,872,199"
137.npy,"761,206,818,222"
138.npy,"803,260,849,273"
14.npy,"949,157,1019,175"
140.npy,"929,135,992,153"
143.npy,"944,150,1000,164"
144.npy,"676,200,732,216"
145.npy,"801,210,854,224"
146.npy,"946,127,1007,147"
147.npy,"932,169,995,185"
148.npy,"935,156,996,174"
149.npy,"1015,160,1081,177"
150.npy,"932,170,996,186"
152.npy,"796,164,855,181"
153.npy,"808,219,862,234"
154.npy,"680,176,736,192"
155.npy,"987,150,1059,169"
157.npy,"859,125,914,140"
16.npy,"977,170,1042,186"
162.npy,"660,206,717,221"
163.npy,"948,176,1009,194"
164.npy,"796,190,860,205"
166.npy,"703,158,764,174"
168.npy,"817,226,871,241"
169.npy,"878,147,946,167"
170.npy,"911,164,972,179"
171.npy,"896,191,955,208"
172.npy,"856,158,906,174"
173.npy,"725,168,790,186"
174.npy,"953,166,1015,182"
178.npy,"911,164,969,177"
179.npy,"923,166,987,184"
18.npy,"832,185,891,205"
181.npy,"810,228,862,243"
182.npy,"882,159,950,179"
183.npy,"945,174,1008,190"
